date,VNINDEX,SSI,HCM,REE,PVT
2/10/18,1018.79,24.87,30.6,32.67,17.78
1/10/18,1012.88,24.99,30.64,33.03,17.87
9/28/18,1017.13,25.21,30.42,33.39,17.87
9/27/18,1015.37,25.29,30.07,33.53,17.68
9/26/18,1009.61,24.84,29.37,33.66,17.59
9/25/18,1010.74,24.8,29.32,32.76,17.07
9/24/18,1011.29,24.95,29.01,33.21,16.69
9/21/18,1002.97,24.76,29.63,32.58,16.98
9/20/18,1004.74,24.53,29.72,32.76,16.93
9/19/18,995.54,24.27,28.66,32.12,16.93
9/18/18,993.49,24.08,28.53,32.12,16.69
9/17/18,987.61,23.56,27.73,31.67,16.69
9/14/18,991.34,24.16,27.73,32.26,16.93
9/13/18,987.95,23.93,27.47,31.94,17.02
12/9/18,987.01,23.86,27.47,31.94,17.21
11/9/18,985.06,24.23,27.82,31.67,17.02
10/9/18,970.34,23.56,27.34,31.17,16.83
7/9/18,968.9,23.71,27.03,31.58,17.02
6/9/18,958.19,23.25,26.23,31.13,16.41
5/9/18,968.44,23.25,26.23,31.49,16.55
4/9/18,975.94,23.1,26.5,32.03,16.55
8/31/18,989.54,23.78,27.2,32.39,16.5
8/30/18,998.07,24.27,28,33.03,16.55
8/29/18,988.17,24.01,26.9,32.39,16.31
8/28/18,995.19,23.86,27.34,32.58,16.36
8/27/18,991.92,23.22,27.03,32.94,15.84
8/24/18,987.05,22.73,25.88,32.94,15.84
8/23/18,987.36,22.99,25.71,32.94,16.08
8/22/18,982.15,22.73,25.79,31.85,16.03
8/21/18,979.21,23.03,26.01,31.17,15.51
8/20/18,969.62,21.94,25.71,30.9,15.55
8/17/18,968.88,22.35,25.22,31.04,15.6
8/16/18,964.28,22.43,25.13,31.58,15.69
8/15/18,961.37,22.58,25.09,31.17,15.73
8/14/18,978.27,23.33,26.1,31.67,15.69
8/13/18,978.04,23.71,26.68,30.81,15.73
10/8/18,968.47,22.8,26.32,30.81,15.6
9/8/18,963.5,22.28,24.96,30.68,15.33
8/8/18,966.27,22.24,25.04,31.22,15.42
7/8/18,956.79,21.79,24.6,29.86,15.38
6/8/18,960.23,21.52,25.04,30.31,15.38
3/8/18,959.6,21.86,25.75,30.77,15.33
2/8/18,953.55,22.09,25.13,31.67,14.84
1/8/18,952.77,21.82,24.47,31.22,15.06
7/31/18,956.39,21.75,24.96,31.94,15.29
7/30/18,949.73,21.52,24.65,31.22,15.29
7/27/18,935.52,21,23.81,30.77,14.8
7/26/18,930.16,20.85,23.15,30.68,14.53
7/25/18,927.58,19.94,22.09,30.4,14.44
7/24/18,934.08,20.62,23.59,30.36,14.44
7/23/18,936.74,21.19,24.07,30.77,14.53
7/20/18,933.39,21.94,24.91,29.59,14.66
7/19/18,943.97,21.75,24.47,30.22,14.8
7/18/18,942.39,21.98,23.77,29.68,14.53
7/17/18,921.27,20.92,22.75,27.78,13.64
7/16/18,911.11,20.55,22,27.46,13.64
7/13/18,909.72,20.66,21.52,27.33,13.64
12/7/18,898.51,19.64,20.72,26.83,13.64
11/7/18,893.16,19.57,20.83,27.06,13.64
10/7/18,911.12,20.81,22.4,27.73,13.15
9/7/18,915.12,20.92,22.4,27.6,13.01
6/7/18,917.51,21.52,23.59,27.78,12.92
5/7/18,899.4,20.21,22.05,27.42,12.92
4/7/18,914.99,20.51,23.28,27.15,12.92
3/7/18,906.01,19.42,21.78,26.78,12.84
2/7/18,947.15,20.7,23.41,27.73,13.28
6/29/18,960.78,21.45,25.13,28.87,13.59
6/28/18,957.35,21.45,26.28,28.32,13.55
6/27/18,968.91,22.35,27.34,28.78,13.9
6/26/18,983.02,23.63,27.56,28.78,13.59
6/25/18,990.52,23.82,27.38,28.87,13.82
6/22/18,983.17,23.78,27.12,28.41,13.73
6/21/18,969.4,23.25,26.68,28.41,13.82
6/20/18,980.95,23.71,27.47,28.73,13.99
6/19/18,962.16,23.33,26.46,28.41,13.82
6/18/18,987.34,23.52,27.51,28.5,14.48
6/15/18,1016.51,25.21,29.54,30.04,14.66
6/14/18,1015.72,24.53,29.89,29.86,14.35
6/13/18,1030.53,25.55,29.98,30.31,14.75
12/6/18,1020.76,25.29,29.98,30.22,14.57
11/6/18,1039.02,25.63,30.47,30.77,14.97
8/6/18,1039.01,25.59,30.38,31.04,15.15
7/6/18,1036.69,25.1,30.11,31.04,15.38
6/6/18,1034.5,25.51,30.86,31.63,15.33
5/6/18,1022.74,25.21,29.67,31.04,15.15
4/6/18,1013.78,25.14,29.72,30.68,14.62
1/6/18,992.87,24.35,28.66,29.95,14.89
5/31/18,971.25,24.08,28.26,29.82,15.15
5/30/18,948.5,22.54,27.34,28.96,15.15
5/29/18,952.18,22.13,27.34,29.5,15.15
5/28/18,931.75,20.7,25.57,27.87,15.24
5/25/18,963.9,22.2,27.47,29.41,16
5/24/18,985.92,22.92,28.53,30.13,16.18
5/23/18,988.94,23.48,28.22,30.95,16.49
5/22/18,985.91,22.62,27.38,30.77,15.87
5/21/18,1014.98,24.08,29.14,32.39,16.04
5/18/18,1040.54,24.84,30.42,32.76,16.31
5/17/18,1030.64,25.29,30.78,32.76,16.4
5/16/18,1054.62,25.96,30.2,32.76,16.44
5/15/18,1073.5,26.72,30.85,33.3,16.04
5/14/18,1066.98,26.34,29.94,32.85,15.69
11/5/18,1044.85,26.04,29.34,32.35,15.87
10/5/18,1028.87,25.81,28.95,32.12,16.09
9/5/18,1056.97,26.94,30.98,32.67,16.31
8/5/18,1060.45,26.94,31.28,32.94,16.13
7/5/18,1062.26,27.39,31.76,32.98,16.13
4/5/18,1026.8,25.78,30.68,32.21,16.04
3/5/18,1026.46,26.34,31.15,32.48,16.85
2/5/18,1029.08,26.19,30.64,32.39,17.2
4/27/18,1050.26,27.09,30.85,32.48,17.83
4/26/18,1044.86,26.19,29.77,31.26,17.6
4/24/18,1080.74,28.15,30.85,32.58,17.92
4/23/18,1076.78,29.43,32.1,32.67,17.65
